"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip"
"3444 MAHOGANY DRIVE","TXR1509EW","SOUTHWEST OF THE INTERSECTION OF MAHOGANY DRIVE AN","BRYAN","TX",,"77807"
"5113 INVERNESS DR","TXR1542EK","5113 INVERNESS DR","BRYAN","TX",,"77802"
"777 GRAHAM RD","TXR1578AE","777 GRAHAM RD","COLLEGE STATION","TX",,"77845"
"8.5 ACRE DEVELOPMENT SH-6","TXR1535BW","NORTHWEST INTERSECTION OF MARTIN LUTHER KING JR ST","BRYAN","TX",,"77803"
"ACADEMY CONDOMINIUMS","TXR1508FA","1326 PRAIRIE DR","BRYAN","TX",,"77803"
"ACE TOWNHOME","TXR15667I","2136 CHESTNUT OAK CIR","COLLEGE STATION","TX",,"77845-4168"
"AGGIE PARK - TEXAS A&M UNIVERSITY","TXR1543FV","800 THROCKMORTON STREET","COLLEGE STATION","TX",,"77840"
"AGRILIFE PHENOTYPING GREENHOUSE","TXR1582BA","950 AGRONOMY ROAD","COLLEGE STATION","TX",,"77845"
"ALENCO WINDOWS","TXR05U808","615 W CARSON ST","BRYAN","TX",,"77801-1102"
"ANDREWS ORTHODONTIST AND RETAIL BUILDING","TXR15193R","1098 ARRINGTON RD","COLLEGE STATION","TX",,"77845"
"ASTIN AVIATION","TXR05CE76","1770 GEORGE BUSH DR W","COLLEGE STATION","TX",,"77845-4761"
"AT HOME - COLLEGE STATION TX","TXR15591P","2301 EARL RUDDER FWY S","COLLEGE STATION","TX",,"77845-6027"
"ATKINS STREET POWER STATION","TX0027952","601 ATKINS STREET","BRYAN","TX","09","77801"
"ATOFINA CHEMICALS, INC.","TX0108863","SW OF THE MO PACIFIC RR &","BRYAN","TX","09","77801"
"AURORA GARDENS","TXR1575AS","400 AURORA CT","COLLEGE STATION","TX",,"77840"
"AUSTIN COLONY PHS. 18","TXR10F6X1","NE OF BULLINGER CREEK DR. & COLONY VILLAGE DRIVE","BRYAN","TX",,"77808"
"AUSTIN COLONY PHS. 18","TXR10F6WR","NE OF BULLINGER CREEK DRIVE & COLONY VILLAGE DRIVE","BRYAN","TX",,"77808"
"AUSTIN'S COLONY PHS. 20","TXR10F8G3","NW OF THORNBERRY DRIVE & BULLINGER CREEK DRIVE","BRYAN","TX",,"77808"
"AUSTIN'S COLONY PHS. 20","TXR10F8GB","NW OF THORNBERRY DRIVE & BULLINGER CREEK DRIVE","BRYAN","TX",,"77808"
"AUSTINS COLNY PHASE 18","TXR15651L","1000 FT WEST OF THORNBERRY DR. ON BULLINGER CREEK","BRYAN","TX",,"77803"
"AUSTINS COLONY","TXR15363O","THE INTERSECTION OF HWY. 6 AND F.M. 158","BRYAN","TX",,"77802"
"AUSTINS COLONY","TXR1528FK","THE INTERSECTION OF HWY. 6 AND F.M. 158","BRYAN","TX",,"77802"
"AUSTINS COLONY SUBDIVISION","TXR1564DR","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15812A","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR1535CL","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15484T","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR1515EF","3008 BLACKFOOT CT","BRYAN","TX",,"77845"
"AUSTINS COLONY SUBDIVISION","TXR1509CS","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR1585AY","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR1563ET","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15333O","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15376U","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR1517ED","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15227M","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15904G","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15615N","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS ESTATE SUBDIVISION LOT 2 BLOCK 1 PHASE 6","TXR15725T","2800 THORNBERRY DR","BRYAN","TX",,"77808"
"BARRACKS MULTI-FAMILY","TXR1595FD","SITE IS LOCATED APPROXIMATELY 0.6 MILES NORTHWEST","COLLEGE STATION","TX",,"77845"
"BARRON CREST SUBDIVISION","TXR15610N","2716 BARRON RD","COLLEGE STATION","TX",,"77845-9168"
"BEE CREEK SANITARY SEWER TRUNK LINE REHABILITATION PHASE 2","TXR15647M","THE SITE RUNS FROM NEAR THE INTERSECTION OF N FORE","COLLEGE STATION","TX",,"77845"
"BIGSHOTS GOLF AGGIELAND","TXR1590EI","400 W. VILLA MARIA ROAD","BRYAN","TX",,"77801"
"BIGSHOTS GOLF AGGIELAND","TXR1580BW","400 W. VILLA MARIA ROAD","BRYAN","TX",,"77801"
"BONHAM TRACE","TXR1542EA","INTERSECTION OF WILLHELM DRIVE AND OLD HEARNE ROAD","BRYAN","TX",,"77803"
"BONN RESIDENCE","TXR1566DE","4715 MIRAMONT CIR","BRYAN","TX",,"77802"
"BOULDER CREEK PH 1","TXR15836U","START AT JESTER TRAIL AND CHICK LN IN BRYAN TEXAS.","BRYAN","TX",,"77807"
"BOULDER CREEK SUBDIVISION","TXR1578BQ","1906 CAMBRIA","BRYAN","TX",,"77807"
"BOWMAN","TXR15771L","4236 BOONVILLE RD","BRYAN","TX",,"77802-3674"
"BOYS AND GIRLS CLUB OF BRAZOS VALLEY","TXR1521CI","1910 BECK ST","BRYAN","TX",,"77803"
"BRAYTON FIRE TRAINING FIELD","TX0090883","1595 NUCLEAR SCIENCE RD","COLLEGE STATION","TX","09","778438000"
"BRAZOS COUNTY JUVENILE JUSTICE CENTER","TXR15013P","1904 W HIGHWAY 21","BRYAN","TX",,"77803-1217"
"BRAZOS COUNTY MS4","TXR040172","URBANIZED AREA OUTSIDE CITY","BRYAN","TX",,"77803"
"BRAZOS VALLEY REYCLING","TXR05BU23","8825 STEWARTS MDWS","COLLEGE STATION","TX",,"77845-8536"
"BRICKYARD METAL RECYCLING","TXR05BQ65","2800 N TEXAS AVE","BRYAN","TX",,"77803-1039"
"BROADSTONE TRADITIONS","TXR10F50D","NW OF ATLAS PEAR DRIVE AND F AND B ROAD","BRYAN","TX",,"77807"
"BROADSTONE TRADITIONS","TXR10F50H","NW OF ATLAS PEAR DRIVE AND F AND B ROAD","BRYAN","TX",,"77807"
"BROADSTONE TRADITIONS","TXR15515C","8000 ATLAS PEAR DR","BRYAN","TX",,"77807-1400"
"BROADSTONE TRADITIONS II","TXR1562AD","8175 ATLAS PEAR DR","COLLEGE STATION","TX",,"77845"
"BRYAN BIN","TXR05BD69","6941 E HIGHWAY 21","BRYAN","TX",,"77808"
"BRYAN FACILITY","TXR05T396","1613 GOOSENECK DR","BRYAN","TX",,"77808-0923"
"BRYAN INTERMEDIATE SCHOOL3","TXR1582GB","3009 BONHAM DR","BRYAN","TX",,"77803"
"BRYAN IRON & METAL","TXR05AZ74","2011 W HIGHWAY 21","BRYAN","TX",,"77803-1220"
"BRYAN MIDTOWN PARK","TXR1583DA","LOCATED AT HE NW CORNER OF W. VILLA MARIA RD AND S","BRYAN","TX",,"77801"
"BRYAN MIDTOWN PARK PH 5A","TXR1502FT","INTERSECTION OF BOMBERS DRIVE AND WILLAIMSON DRIVE","BRYAN","TX",,"77802"
"BRYAN PLACE ADDITION","TXR15473T","1222 BITTLE LN","BRYAN","TX",,"77801"
"BRYAN REGIONAL PARK - PHASE 1B & 3A","TXR1541BW","NORTHWEST CORNER OF WEST VILLA MARIA RD AND SOUTH","BRYAN","TX",,"77801"
"BRYAN STILL CREEK CULVERTS","TXR1586EG","WOODVILLE DRIVE AT CREEKWOOD DRIVE","BRYAN","TX",,"77803"
"BRYAN WEST TIE-IN","TXR10F47A","HIGHWAY 47 & HEALTH SCIENCE CENTER PARKWAY","BRYAN","TX",,"77845"
"BTU ELECTRICAL DISTRIBUTION CENTER SITE RECLAMATION","TXR1515DE","601 ATKINS ST","BRYAN","TX",,"77801-1128"
"BTU ELECTRICAL DISTRIBUTION SERVICE CENTER SITE IMPROVEMENTS","TXR1583EA","SITE IS LOCATED APPROXIMATELY 0.25 MILES NORTHEAST","BRYAN","TX",,"77801"
"BURTON CREEK WWTP","TX0022616","300 PARK RD","BRYAN","TX","09","77805"
"BURTON CREEK WWTP","TXR05Q529","300 PARK RD","BRYAN","TX",,"77805"
"BYOT","TXR15946Y","3738 HIGHWAY 21 E","BRYAN","TX",,"77808-0933"
"BYOT AUTO PARTS","TXR05EK31","3738 HIGHWAY 21 E","BRYAN","TX",,"77808-0933"
"C-STORE HWY 21 GAS EXTENSION","TXR10F7WE","SW OF BOATWRIGHT ST. & BROOKHAVEN ST.","BRYAN","TX",,"77803"
"C-STORE HWY 21 GAS EXTENSION","TXR10F7VR","SW OF BOATWRIGHT ST. & BROOKHAVEN ST.","BRYAN","TX",,"77803"
"CAIN HALL REDEVELOPMENT","TXR15082K","500 GENE STALLINGS BLVD","COLLEGE STATION","TX",,"77840"
"CAMILLO - LEONARD CROSSING","TXR15765W","ALONG LEONARD DRIVE AND CROSSING DRIVE","BRYAN","TX",,"77803"
"CAMILLO - OAKWOOD FOREST","TXR15233O","NORTH OF N. TX AVE. AT OAKWOOD FOREST","BRYAN","TX",,"77803"
"CAMPUS CORNER - STARBUCKS AND CHIPOTLE","TXR1554EV","1421 WELLBORN RD","COLLEGE STATION","TX",,"77840"
"CAMWEST PHASE 1","TXR15935O","8872 HSC PKWY","BRYAN","TX",,"77807-1107"
"CARRABBA INDUSTRIAL PARK PHASE 11 & 13 A","TXR15543S","ON HWY 21, 1.1 MILES EAST FROM THE INTERSECTION OF","BRYAN","TX",,"77808"
"CARTER CREEK WWTP","TX0047163","2200 NORTH FOREST PKWY","COLLEGE STATION","TX","09","77845"
"CARTER HEIGHTS","TXR10F8E6","NW OF OAK KNOLL PLACE & BENNETT ST.","BRYAN","TX",,"77802"
"CARTER HEIGHTS","TXR10F8EC","NW OF OAK KNOLL PLACE & BENNETT ST.","BRYAN","TX",,"77802"
"CARTERS CREEK WASTEWATER TREATMENT PLANT","TXR05CU94","2200 N FOREST PKWY","COLLEGE STATION","TX",,"77845"
"CENTRAL UTILITY PLANT","TX0002747","222 IRELAND ST","COLLEGE STATION","TX","09","77843"
"CHICK-FIL-A - BRYAN BRAZOS VALLEY MARKETPLACE","TXR1548EO","1542 W. VILLA MARIA RD.","BRYAN","TX",,"77807"
"CHICK-FIL-A - BRYAN BRAZOS VALLEY MARKETPLACE","TXR1524DR","1542 W. VILLA MARIA RD.","BRYAN","TX",,"77807"
"CHICK-FIL-A - COLLEGE STATION FM 2818 & WELLBORN TX 4215","TXR15876W","HARVEY MITCHELL PARKWAY SOUTH AND WELLBORN ROAD","COLLEGE STATION","TX",,"77845"
"CHICK-FIL-A - COLLEGE STATION FM 2818 & WELLBORN TX 4215","TXR15499V","HARVEY MITCHELL PARKWAY SOUTH AND WELLBORN ROAD","COLLEGE STATION","TX",,"77845"
"CHIMNEY HILL COMMERCIAL DEVELOPMENT","TXR10F7UR","NW OF UNIVERSITY DRIVE E. & TARROW ST.","COLLEGE STATION","TX",,"77840"
"CHIMNEY HILL COMMERCIAL DEVELOPMENT","TXR10F7UM","NW OF UNIVERSITY DRIVE E. & TARROW ST.","COLLEGE STATION","TX",,"77840"
"CHIMNEY HILL RETAIL CENTER NO 2","TXR1534BW","713 UNIVERSITY DR E","COLLEGE STATION","TX",,"77840"
"CITY OF BRYAN EAST SIDE WWTP","TX0140635","300 S TEXAS AVE","BRYAN","TX","9","77803"
"CITY OF BRYAN MS4","TXR040336","AREA WITHIN THE CITY OF BRYAN LIMITS THAT IS","BRYAN","TX","09","77805"
"CITY OF BRYAN TRAVIS PARK FIELDS - PHASE 1C","TXR1594CO","2200 BOMBER DR","BRYAN","TX",,"77801"
"CITY OF COLLEGE STATION CITY HALL","TXR1523BW","1101 TEXAS AVE S","COLLEGE STATION","TX",,"77840-2433"
"CITY OF COLLEGE STATION FACILITY MAINTENANCE","TXR1576FZ","303 WILLIAM KING COLE DRIVE","COLLEGE STATION","TX",,"77840"
"CITY SOUTH OFFICE COMPLEX - PHASE 1","TXR1525AQ","THIS PROJECT IS LOCATED SOUTH OF LAKEWAY DRIVE, JU","COLLEGE STATION","TX",,"77845"
"CLIMATE DOCTORSSTANDARD SUPPLY","TXR15777U","10129 SH 30","BRYAN","TX",,"77845"
"COBRA PROTECTIVE COATINGS","TXR05BJ53","6248 W HWY 21","BRYAN","TX",,"77807"
"COLLEGE STATION POLICE HEADQUARTERS","TXR15503T","PROJECT LOCATED ON DARTMOUTH STREET AND KRENEK TAP","COLLEGE STATION","TX",,"77845"
"CONNORS COVE","TXR15359W","HEADED NORTH ON HWY 6, TAKE THE WOODVILLE RD EXIT,","BRYAN","TX",,"77808"
"CONNORS COVE","TXR1529BS","HEADED NORTH ON HWY 6, TAKE THE WOODVILLE RD EXIT,","BRYAN","TX",,"77808"
"COOPERS BBQ","TXR15057T","PROJECT LOCATED ON TEXAS HIGHWAY 6 AT THE CORNER O","COLLEGE STATION","TX",,"77845"
"CORDOVA RIDGE","TXR10F4RZ","SE OF PASSENDALE LANE & RENEE LANE","COLLEGE STATION","TX",,"77845"
"CORDOVA RIDGE","TXR10F4RV","SE OF PASSENDALE LANE & RENEE LANE","COLLEGE STATION","TX",,"77845"
"COULTER DRIVE RECONSTRUCTION","TXR1586BU","COULTER DRIVE FROM S. COLLEGE AVENUE TO E. WILLIAM","BRYAN","TX",,"77803"
"COULTER FIELD","TXR05DS44","6120 E STATE HIGHWAY 21","BRYAN","TX",,"77808-8642"
"CRESCENT POINT PARKWAY","TXR15772L","2301 CRESCENT POINT PARKWAY","COLLEGE STATION","TX",,"77845"
"CRESCENT POINTE OFFICE PARK","TXR15275Z","SITE LOCATED ON CRESCENT POINTE PARKWAY","COLLEGE STATION","TX",,"77845"
"CROSSING AT WELLBORN","TXR15613W","PROJECT IS NORTH EAST OF THE INTERSECTION OF WELLB","COLLEGE STATION","TX",,"77845"
"CRUZ SALVAGE YARD","TXR05AL43","2506 W 28TH ST","BRYAN","TX",,"77803-2103"
"CSISD ELEMENTARY SCHOOL 10","TXR15420M","CORNER OF ROCK PRAIRIE AND HOLLEMAN DRIVE SOUTH. 4","COLLEGE STATION","TX",,"77840"
"DARTMOUTH STREET EXTENSION PHASE 1","TXR15517U","2338 HARVEY MITCHELL PKWY S","COLLEGE STATION","TX",,"77845-5016"
"DEERFIELD EXTENSION","TXR1561EA","10253 SH 30","COLLEGE STATION","TX",,"77845"
"DICK ELLIOTT ROAD","TXR1520FV","ALONG DICK ELLIOTT ROAD FROM BICKHAM CEMETERY ROAD","BRYAN","TX",,"77808"
"DOGGETT AUTO PARTS","TXR05AV27","3601 OLD KURTEN RD","BRYAN","TX",,"77808-5432"
"DOMINION OAKS SUBDIVISION","TXR1561FM","2008 BIENSKI PKWY","BRYAN","TX",,"77807"
"DRURY INN & SUITES","TXR1524BL","705 UNIVERSITY DR E","COLLEGE STATION","TX",,"77840"
"DUNKIN DONUTS","TXR1509BW","100 WELLBORN RD","COLLEGE STATION","TX",,"77840"
"DUTCH BROS COFFEE","TXR1512EW","2101 STATE HIGHWAY 6 SOUTH","COLLEGE STATION","TX",,"77845"
"DUTCH BROS COFFEE","TXR1552CY","12065 FM 2154 RD","COLLEGE STATION","TX",,"77845"
"DUTCH BROTHERS COFFEE","TXR1580EL","2341 BOONVILLE RD","BRYAN","TX",,"77808"
"DYNACON","TXR05DQ81","830 INDUSTRIAL BLVD","BRYAN","TX",,"77803-2007"
"EAST GATE REHABILITATION PROJECT PHASE IV","TXR15727G","INTERSECTION OF TEXAS AVE & FRANCIS DR AND TEXAS A","COLLEGE STATION","TX",,"77840"
"EASTERWOOD AIRPORT","TXR05Y578","1 MCKENZIE TERMINAL BLVD","COLLEGE STATION","TX",,"77845-8501"
"EASTERWOOD AIRPORT MANAGEMENT","TXR05ET23","1 MCKENZIE TERMINAL BLVD STE 112","COLLEGE STATION","TX",,"77845-8578"
"EASTERWOOD AIRPORT TAXIWAY C & C1 REHABILITATION","TXR1533AZ","1 MCKENZIE TERMINAL BLVD","COLLEGE STATION","TX",,"77845"
"EDGEWATER","TXR15811N","1700 FEET SOUTH OF THE INTERSECTION OF LEONARD RD.","BRYAN","TX",,"77807"
"EDGEWATER SUBDIVISION","TXR15651F","THE PROJECT SITE IS LOCATED ON CHICK LANE, BRYAN,","BRYAN","TX",,"77807"
"EMERALD RIDGE ESTATES PHS. 3A & 3B","TXR10F9LH","SE OF APPOMATTOX DR. & EMERALD PKWY","COLLEGE STATION","TX",,"77845"
"EMERALD RIDGE ESTATES PHS. 3A & 3B","TXR10F9LD","SE OF APPOMATTOX DR. & EMERALD PKWY","COLLEGE STATION","TX",,"77845"
"ENCINO TRACE APARTMENTS","TXR1536AB","2336 HARVEY MITCHELL PKWY S","COLLEGE STATION","TX",,"77845"
"FEDERAL EXPRESS COLLEGE STATION","TXR05CZ16","3205 LONGMIRE DR","COLLEGE STATION","TX",,"77845-5809"
"FINISHING CENTER","TXRNEZ245","350 STONE CITY DR","BRYAN","TX",,"77803"
"FOREST GROVE APARTMENTS","TXR1539AN","3105 LEONARD RD","BRYAN","TX",,"77803"
"FOREST MILLER","TXR15424O","9017 GREEN BRANCH LOOP","BRYAN","TX",,"77808-4918"
"FOREST MILLER","TXR15648F","9017 GREEN BRANCH LOOP","BRYAN","TX",,"77808-4918"
"FOREST MILLER","TXR15144Z","9017 GREEN BRANCH LOOP","BRYAN","TX",,"77808-4918"
"FOREST PINES APARTMENTS","TXR15160L","852 N HARVEY MITCHELL PKWY","BRYAN","TX",,"77807-1015"
"FOUNTAIN AVENUE PRODUCTION FACILITY","TXRNEZ246","1460 FOUNTAIN AVE","BRYAN","TX",,"77801-1129"
